label,cluster_no
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
rice,4
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
maize,5
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
chickpea,2
